"pos","set","Pair","var","values"
"down","b) complete dataset",60,"Redundancy",1.39671128336688
"up","b) complete dataset",60,"Richness",-0.189865744847268
"up","b) complete dataset",60,"Evenness",-0.202160997423781
"up","b) complete dataset",60,"Dispersion",-0.874341566082581
"up","b) complete dataset",60,"Redundancy",1.3758435476828
"down","b) complete dataset",62,"Richness",0.0868528581126212
"down","b) complete dataset",62,"Evenness",-1.44697814088097
"down","b) complete dataset",62,"Dispersion",-1.86091455812967
"down","b) complete dataset",62,"Redundancy",1.99373557023433
"up","b) complete dataset",62,"Richness",0.784766527111475
"up","b) complete dataset",62,"Evenness",-1.90805963537546
"up","b) complete dataset",62,"Dispersion",-1.08510552885069
"up","b) complete dataset",62,"Redundancy",1.36960153148156
"down","b) complete dataset",63,"Richness",-2.10622102436728
"down","b) complete dataset",63,"Evenness",-0.701312595974836
"down","b) complete dataset",63,"Dispersion",0.0532862404788057
"down","b) complete dataset",63,"Redundancy",-0.00973635060403569
"up","b) complete dataset",63,"Richness",-0.384254696750421
"up","b) complete dataset",63,"Evenness",-0.593005540685465
"up","b) complete dataset",63,"Dispersion",0.554002020497739
"up","b) complete dataset",63,"Redundancy",-0.419900969694512
"down","b) complete dataset",64,"Richness",-1.49949502681888
"down","b) complete dataset",64,"Evenness",2.10626363219316
"down","b) complete dataset",64,"Dispersion",1.11883965657671
"down","b) complete dataset",64,"Redundancy",-1.12213154383403
"up","b) complete dataset",64,"Richness",-0.756050040443721
"up","b) complete dataset",64,"Evenness",-1.0509318682277
"up","b) complete dataset",64,"Dispersion",-0.439715219152357
"up","b) complete dataset",64,"Redundancy",0.523099410036086
"down","b) complete dataset",66,"Richness",-0.759408941489428
"down","b) complete dataset",66,"Evenness",-0.268204020676376
"down","b) complete dataset",66,"Dispersion",-0.77015212308995
"down","b) complete dataset",66,"Redundancy",1.14413917299407
"up","b) complete dataset",66,"Richness",0.506252950899202
"up","b) complete dataset",66,"Evenness",-0.277138896101737
"up","b) complete dataset",66,"Dispersion",0.821917381831312
"up","b) complete dataset",66,"Redundancy",-0.772639163102744
"down","b) complete dataset",67,"Richness",-0.578352166956639
"down","b) complete dataset",67,"Evenness",-0.886917195857449
"down","b) complete dataset",67,"Dispersion",-1.00035326006385
"down","b) complete dataset",67,"Redundancy",1.28423570213097
"up","b) complete dataset",67,"Richness",-0.876072701726291
"up","b) complete dataset",67,"Evenness",-0.00247689511059424
"up","b) complete dataset",67,"Dispersion",0.0580128804754928
"up","b) complete dataset",67,"Redundancy",-0.0807693502286111
"down","b) complete dataset",68,"Richness",-0.319926715731931
"down","b) complete dataset",68,"Evenness",-1.92218868069193
"down","b) complete dataset",68,"Dispersion",-2.52872309963564
"down","b) complete dataset",68,"Redundancy",2.52014892358998
"up","b) complete dataset",68,"Richness",-1.46203212793831
"up","b) complete dataset",68,"Evenness",-0.908252360301599
"up","b) complete dataset",68,"Dispersion",-1.18982868926117
"up","b) complete dataset",68,"Redundancy",1.22888029917993
"down","b) complete dataset",70,"Richness",0.0936503732957689
"down","b) complete dataset",70,"Evenness",-0.753882699139355
"down","b) complete dataset",70,"Dispersion",-0.834846294149582
"down","b) complete dataset",70,"Redundancy",0.888477889555286
"up","b) complete dataset",70,"Richness",-0.970583146945607
"up","b) complete dataset",70,"Evenness",-0.218173807566377
